LOINC #,Long Common Name,Short Name,CLASS,Rank
5159-9,Epstein Barr virus capsid IgM Ab [Units/volume] in Serum by Immunoassay,EBV VCA IgM Ser IA-aCnc,MICRO,604
26052-1,Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field,Renal Epi Cells #/area UrnS HPF,UA,605
7885-7,Epstein Barr virus capsid IgG Ab [Units/volume] in Serum,EBV VCA IgG Ser-aCnc,MICRO,606
5157-3,Epstein Barr virus capsid IgG Ab [Units/volume] in Serum by Immunoassay,EBV VCA IgG Ser IA-aCnc,MICRO,607
33768-3,Leukocyte clumps [#/volume] in Urine by Automated count,WBC clumps # Ur Auto,UA,608
23811-3,Alpha-1-Fetoprotein [Multiple of the median] adjusted in Serum or Plasma,AFP adj MoM SerPl,Chem,609
3013-0,Thyroglobulin [Mass/volume] in Serum or Plasma,Thyroglob SerPl-mCnc,Chem,610
6206-7,Peanut IgE Ab [Units/volume] in Serum,Peanut IgE Qn,Allergy,611
2756-5,pH of Urine,pH Ur,Chem,612
46769-6,Cystic fibrosis newborn screen interpretation,CF DBS-Imp,Chem,613
2484-4,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,IGF-I SerPl-mCnc,Chem,614
2118-8,Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma,HCG Preg SerPl Ql,Chem,615
18974-6,Rifampin [Susceptibility],Rifampin Susc Islt,ABXBACT,616
12710-0,Hemoglobin pattern [interpretation] in Blood,Hgb Fract Bld-Imp,HEM/BC,617
34705-4,Carbon dioxide [Partial pressure] adjusted to patients actual temperature in Blood,pCO2 temp adj Bld,Chem,618
19254-2,Oxygen [Partial pressure] adjusted to patients actual temperature in Blood,pO2 temp adj Bld,Chem,619
4993-2,Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by DNA probe,C trach rRNA XXX Ql Prb,MICRO,620
1977-8,Bilirubin [Presence] in Urine,Bilirub Ur Ql,Chem,621
44877-9,Insulin dependent diabetes mellitus [Presence],IDDM Patient Ql,MISC,622
23641-4,Quinupristin+Dalfopristin [Susceptibility] by Minimum inhibitory concentration (MIC),Quinupristin+Dalfoprist Islt MIC,ABXBACT,623
46740-7,Hemoglobin disorders newborn screen interpretation,Hemoglobin disorders DBS-Imp,Chem,624
14563-1,Hemoglobin.gastrointestinal [Presence] in Stool --1st specimen,Hemoccult sp1 Stl Ql,Chem,625
20447-9,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,HIV1 RNA # SerPl PCR,MICRO,626
5244-9,Measles virus IgG Ab [Units/volume] in Serum by Immunoassay,MeV IgG Ser IA-aCnc,MICRO,627
2250-9,Estriol (E3).unconjugated [Mass/volume] in Serum or Plasma,u Estriol SerPl-mCnc,Chem,628
19550-3,Methadone [Presence] in Urine by Screen method,Methadone Ur Ql Scn,DRUG/TOX,629
49090-4,Trisomy 21 risk based on maternal age in Fetus,Fet Ts 21 risk from Mat age,Chem,630
21026-0,Pathologist interpretation of Blood tests,Path Interp Bld-Imp,PATH,631
62292-8,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,25(OH)D2+25(OH)D3 SerPl-mCnc,Chem,632
2761-5,Phenylketones [Presence] in Blood,Phenylketones Bld Ql,Chem,633
3779-6,Methamphetamine [Presence] in Urine,Methamphet Ur Ql,DRUG/TOX,634
35663-4,Protein [Mass/volume] in unspecified time Urine,Prot ?Tm Ur-mCnc,UA,635
20506-2,Specimen drawn from,Specimen drawn from Patient,SPEC,636
19057-9,ABO & Rh group [Type] in Blood from newborn,ABO + Rh Bld NB,BLDBK,637
626-2,Bacteria identified in Throat by Culture,Bacteria Throat Cult,MICRO,638
13532-7,Xanthochromia [Presence] of Cerebral spinal fluid,Xanthochromia CSF Ql,SPEC,639
34660-1,Hemoglobin A2/Hemoglobin.total in Blood by Chromatography column,Hgb A2 MFr Bld Column Chrom,HEM/BC,640
26454-9,Erythrocytes [#/volume] in Cerebral spinal fluid,RBC # CSF,HEM/BC,641
10333-3,Appearance of Cerebral spinal fluid,Appearance CSF,SPEC,642
5822-2,Yeast [#/area] in Urine sediment by Microscopy high power field,Yeast #/area UrnS HPF,UA,643
49092-0,Second trimester quad maternal screen [interpretation] in Serum or Plasma Narrative,2nd trimester 4 screen SerPl-Imp,Chem,644
6276-0,Wheat IgE Ab [Units/volume] in Serum,Wheat IgE Qn,Allergy,645
6248-9,Soybean IgE Ab [Units/volume] in Serum,Soybean IgE Qn,Allergy,646
75882-1,Lupus anticoagulant three screening tests W Reflex [interpretation],LA 3 screen W Reflex-Imp,COAG,647
6095-4,American house dust mite IgE Ab [Units/volume] in Serum,D farinae IgE Qn,Allergy,648
25160-3,Granular casts [Presence] in Urine sediment by Light microscopy,Gran Casts UrnS Ql Micro,UA,649
33804-6,RBC casts [Presence] in Urine sediment by Light microscopy,RBC Casts UrnS Ql Micro,UA,650
703-9,Basophilic stippling [Presence] in Blood by Light microscopy,Baso Stipl Bld Ql Smear,HEM/BC,651
6020-2,Alternaria alternata IgE Ab [Units/volume] in Serum,A alternata IgE Qn,Allergy,652
20496-6,Gliadin IgG Ab [Units/volume] in Serum by Immunoassay,Gliadin IgG Ser IA-aCnc,SERO,653
29541-0,HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe & target amplification method,HIV1 RNA Plas PCR-Log#,MICRO,654
6584-7,Virus identified in Unspecified specimen by Culture,Virus XXX Cult,MICRO,655
19343-3,Amphetamine [Presence] in Urine by Screen method,Amphet Ur Ql Scn,DRUG/TOX,656
13964-2,Methylmalonate [Moles/volume] in Serum or Plasma,Methylmalonate SerPl-sCnc,Chem,657
802-9,Spherocytes [Presence] in Blood by Light microscopy,Spherocytes Bld Ql Smear,HEM/BC,658
10704-5,Ova+Parasites identified in Stool by Light microscopy,O+P Stl Micro,MICRO,659
5185-4,Hepatitis B virus core IgM Ab [Units/volume] in Serum by Immunoassay,HBV core IgM SerPl IA-aCnc,MICRO,660
49054-0,25-Hydroxycalciferol [Mass/volume] in Serum or Plasma,25(OH)D2 SerPl-mCnc,Chem,661
7258-7,Cow milk IgE Ab [Units/volume] in Serum,Cow Milk IgE Qn,Allergy,662
19554-5,Methamphetamine [Presence] in Urine by Screen method,Methamphet Ur Ql Scn,DRUG/TOX,663
10328-3,Lymphocytes/100 leukocytes in Cerebral spinal fluid by Manual count,Lymphocytes/leuk NFr CSF Manual,HEM/BC,664
2705-2,Oxygen [Partial pressure] in Venous blood,pO2 BldV,Chem,665
43994-3,Trisomy 18 risk in Fetus,Ts 18 risk Fetus,Chem,666
14334-7,Lithium [Moles/volume] in Serum or Plasma,Lithium SerPl-sCnc,DRUG/TOX,667
41477-1,Bacterial sialidase [Presence] in Unspecified specimen,Bacterial sialidase XXX Ql,MICRO,668
33254-4,pH of Arterial blood adjusted to patients actual temperature,pH temp adj BldA,Chem,669
21612-7,Age - Reported,Age - Reported,MISC,670
3432-2,Carbamazepine [Mass/volume] in Serum or Plasma,Carbamazepine SerPl-mCnc,DRUG/TOX,671
43995-0,Trisomy 21 risk in Fetus,Ts 21 risk Fetus,Chem,672
5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum by Immunoassay,CMV IgG SerPl IA-aCnc,MICRO,673
10366-3,Cotinine [Mass/volume] in Urine,Cotinine Ur-mCnc,DRUG/TOX,674
6096-2,European house dust mite IgE Ab [Units/volume] in Serum,D pteronyss IgE Qn,Allergy,675
26473-9,Leukocytes other/100 leukocytes in Body fluid,WBC Other/leuk NFr Fld,HEM/BC,676
24108-3,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,Cancer Ag19-9 SerPl-aCnc,Chem,677
5859-4,Herpes simplex virus identified in Unspecified specimen by Organism specific culture,HSV XXX Cult,MICRO,678
5774-5,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,CaOx Cry UrnS Ql Micro,UA,679
49121-7,Erythrocyte inclusion bodies [Identifier] in Blood,RBC inclusions Bld,HEM/BC,680
13967-5,Sex hormone binding globulin [Moles/volume] in Serum or Plasma,SHBG SerPl-sCnc,Chem,681
3095-7,Urea nitrogen [Mass/volume] in Urine,UUN Ur-mCnc,Chem,682
6025-1,Aspergillus fumigatus IgE Ab [Units/volume] in Serum,A fumigatus IgE Qn,Allergy,683
21264-7,Estriol (E3).unconjugated [Multiple of the median] adjusted in Serum or Plasma,u Estriol adj MoM SerPl,Chem,684
25836-8,HIV 1 RNA [#/volume] (viral load) in Unspecified specimen by Probe & target amplification method,HIV1 RNA # XXX PCR,MICRO,685
46640-9,Secondary diagnosis RFC,,SURVEY.RFC,686
42216-2,Reference lab name [Identifier],Ref Lab Name,MISC,687
48391-7,"Carbon dioxide, total [Moles/volume] in Venous blood by calculation",CO2 BldV Calc-sCnc,Chem,688
35678-2,Sodium [Moles/volume] in unspecified time Urine,Sodium ?Tm Ur-sCnc,Chem,689
10459-6,Alpha-1-Fetoprotein Ag [Presence] in Tissue by Immune stain,AFP Ag Tiss Ql ImStn,PATH,690
5793-5,Granular casts [#/area] in Urine sediment by Microscopy low power field,Gran Casts #/area UrnS LPF,UA,691
6099-6,Dog epithelium IgE Ab [Units/volume] in Serum,Dog Epith IgE Qn,Allergy,692
34701-3,Platelet Ab.heparin induced [Presence] in Serum,PF4 heparin cmplx Ab Ser Ql,SERO,693
20495-8,Gliadin IgA Ab [Units/volume] in Serum by Immunoassay,Gliadin IgA Ser IA-aCnc,SERO,694
1761-6,Aldolase [Enzymatic activity/volume] in Serum or Plasma,Aldolase SerPl-cCnc,Chem,695
8248-7,Spermatozoa [Presence] in Urine sediment by Light microscopy,Sperm UrnS Ql Micro,UA,696
2078-4,Chloride [Moles/volume] in Urine,Chloride Ur-sCnc,Chem,697
31374-2,Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum,EBV NA IgG Ser-aCnc,MICRO,698
30083-0,Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay,EBV NA IgG Ser IA-aCnc,MICRO,699
47223-3,Trisomy 18 risk based on maternal age in Fetus,Fet Ts 18 risk from Mat age,Chem,700
1986-9,C peptide [Mass/volume] in Serum or Plasma,C peptide SerPl-mCnc,Chem,701
23883-2,Inhibin A [Mass/volume] in Serum,Inhibin A SerPl-mCnc,Chem,702
34468-9,Clostridium difficile toxin A+B [Presence] in Stool by Immunoassay,C dif Tox A+B Stl Ql IA,MICRO,703
2881-1,Protein [Mass/volume] in Body fluid,Prot Fld-mCnc,Chem,704
3243-3,Thrombin time in Platelet poor plasma by Coagulation assay,Thrombin time,COAG,705
3243-3,Thrombin time,Thrombin time,COAG,705
19270-8,Barbiturates [Presence] in Urine by Screen method,Barbiturates Ur Ql Scn,DRUG/TOX,706
15432-8,Testosterone Free/Testosterone.total in Serum or Plasma,Testost Free MFr SerPl,Chem,707
26466-3,Leukocytes [#/volume] in Body fluid,WBC # Fld,HEM/BC,708
21440-3,Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by DNA probe,HPV I/H Risk DNA Cvx Ql Prb,MICRO,709
3948-7,Phenobarbital [Mass/volume] in Serum or Plasma,Phenobarb SerPl-mCnc,DRUG/TOX,710
10835-7,Lipoprotein a [Mass/volume] in Serum or Plasma,LPa SerPl-mCnc,Chem,711
22330-5,Hepatitis D virus Ab [Units/volume] in Serum,HDV Ab Ser-aCnc,MICRO,712
38526-0,Number of specimens tested of Stool,# Spec Tst Stl,SPEC,713
40752-8,Epstein Barr virus early IgG Ab [Presence] in Serum by Immunoassay,EBV EA IgG Ser Ql IA,MICRO,714
6833-8,Cat dander IgE Ab [Units/volume] in Serum,Cat Dander IgE Qn,Allergy,715
5813-1,Trichomonas vaginalis [Presence] in Urine sediment by Light microscopy,T vaginalis UrnS Ql Micro,UA,716
6189-5,White Oak IgE Ab [Units/volume] in Serum,White Oak IgE Qn,Allergy,717
6075-6,Cladosporium herbarum IgE Ab [Units/volume] in Serum,C herbarum IgE Qn,Allergy,718
14314-9,Benzoylecgonine [Presence] in Urine by Screen method,BZE Ur Ql Scn,DRUG/TOX,719
5332-2,Rubella virus Ab [Presence] in Serum by Latex agglutination,RUBV Ab Ser Ql LA,MICRO,720
12248-1,Epithelial cells.renal [Presence] in Urine sediment by Light microscopy,Renal Epi Cells UrnS Ql Micro,UA,721
5892-5,Protein S [Units/volume] in Platelet poor plasma by Coagulation assay,Prot S PPP-aCnc,COAG,722
4552-6,Hemoglobin A2/Hemoglobin.total in Blood by Electrophoresis,Hgb A2 MFr Bld Elph,HEM/BC,723
22314-9,Hepatitis A virus IgM Ab [Presence] in Serum,HAV IgM Ser Ql,MICRO,724
46154-1,Trichomonas vaginalis rRNA [Presence] in Unspecified specimen by Probe & target amplification method,T vaginalis rRNA XXX Ql PCR,MICRO,725
6357-8,Chlamydia trachomatis DNA [Presence] in Urine by Probe & target amplification method,C trach DNA Ur Ql PCR,MICRO,726
36904-1,Inhibin A [Multiple of the median] adjusted in Serum,Inhibin A adj MoM SerPl,Chem,727
5862-8,Influenza virus A Ag [Presence] in Unspecified specimen by Immunoassay,FLUAV Ag XXX Ql IA,MICRO,728
45371-2,Multiple pregancy,Multiple Pregnancy,CLIN,729
2742-5,Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma,ACE SerPl-cCnc,Chem,730
32764-3,Clue cells [Presence] in Unspecified specimen by Wet preparation,Clue Cells XXX Ql Wet Prep,MICRO,731
42247-7,Hemoglobin pattern [interpretation] in Blood by HPLC Narrative,Hgb Fract Bld HPLC-Imp,HEM/BC,732
11153-4,Hematocrit [Volume Fraction] of Body fluid,Hct VFr Fld,HEM/BC,733
6875-9,Cancer Ag 15-3 [Units/volume] in Serum or Plasma,Cancer Ag15-3 SerPl-aCnc,Chem,734
32166-1,Choriogonadotropin [Multiple of the median] adjusted in Serum or Plasma,HCG adj MoM SerPl,Chem,735
6741-3,Erythrocytes [#/volume] in Body fluid by Manual count,RBC # Fld Manual,HEM/BC,736
7900-4,Helicobacter pylori Ab [Units/volume] in Serum,H pylori Ab Ser-aCnc,MICRO,737
6087-1,Corn IgE Ab [Units/volume] in Serum,Corn IgE Qn,Allergy,738
5763-8,Zinc [Mass/volume] in Serum or Plasma,Zinc SerPl-mCnc,DRUG/TOX,739
11259-9,Hepatitis C virus RNA [Presence] in Serum or Plasma by Probe & target amplification method,HCV RNA SerPl Ql PCR,MICRO,740
38180-6,Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by Probe & target amplification method,HCV RNA SerPl PCR-Log IU,MICRO,741
3299-5,Acetaminophen [Presence] in Urine,APAP Ur Ql,DRUG/TOX,742
2283-0,Folate [Mass/volume] in Red Blood Cells,Folate RBC-mCnc,Chem,743
5370-2,Streptolysin O Ab [Units/volume] in Serum,ASO Ab SerPl-aCnc,MICRO,744
6041-8,Bermuda grass IgE Ab [Units/volume] in Serum,Bermuda grass IgE Qn,Allergy,745
53962-7,Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma,AFP-TM SerPl-mCnc,Chem,746
17859-0,Helicobacter pylori IgG Ab [Presence] in Serum by Immunoassay,H pylori IgG SerPl Ql IA,MICRO,747
6212-5,Penicillium notatum IgE Ab [Units/volume] in Serum,P notatum IgE Qn,Allergy,748
22496-4,Rubella virus Ab [Presence] in Serum,RUBV Ab Ser Ql,MICRO,749
49050-8,Microscopic observation [Identifier] in Endocervical brush by Cyto stain,Cyto Endocvx brush,CYTO,750
21190-4,Chlamydia trachomatis DNA [Presence] in Cervix by Probe and target amplification method,C trach DNA Cvx Ql PCR,MICRO,751
30457-6,Nonhematic cells/100 leukocytes in Body fluid,Nonhematic Cells/leuk NFr Fld,HEM/BC,752
34985-2,Unidentified cells/100 leukocytes in Body fluid,Unident Cells/leuk NFr Fld,HEM/BC,753
7966-5,Mumps virus IgG Ab [Units/volume] in Serum,MuV IgG Ser-aCnc,MICRO,754
20512-0,Turbidity [Presence] of Cerebral spinal fluid,Turbidity CSF Ql,SPEC,755
32198-4,Neisseria gonorrhoeae rRNA [Presence] in Cervix by DNA probe,N gonorrhoea rRNA Cvx Ql Prb,MICRO,756
6085-5,Common Ragweed IgE Ab [Units/volume] in Serum,Common Ragweed IgE Qn,Allergy,757
6110-1,English Plantain IgE Ab [Units/volume] in Serum,Engl plantain IgE Qn,Allergy,758
6303-2,dRVVT LA screen,Screen dRVVT,COAG,759
27811-9,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,AT III Act/Nor PPP Chro,COAG,760
47213-4,Cholesterol in LDL real size pattern [Identifier] in Serum or Plasma,LDLc real size Pat SerPl,Chem,761
31144-9,Thyroxine (T4) [Mass/volume] in Dried blood spot,T4 DBS-mCnc,Chem,762
2087-5,Cholesterol in IDL [Mass/volume] in Serum or Plasma,IDLc SerPl-mCnc,Chem,763
50194-0,Cholesterol in IDL+Cholesterol in VLDL 3 [Mass/volume] in Serum or Plasma,IDLc+VLDL3c SerPl-mCnc,Chem,764
46986-6,Cholesterol in VLDL 3 [Mass/volume] in Serum or Plasma,VLDL3c SerPl-mCnc,Chem,765
49062-3,Lipid risk factors [Finding],Lipid risk factors Patient,Chem,766
32046-5,Pregnancy associated plasma protein A (PAPPA) [Units/volume] in Serum or Plasma,PAPP-A SerPl-aCnc,Chem,767
26760-9,Cannabinoids [Units/volume] in Urine,Cannabinoids Ur-aCnc,DRUG/TOX,768
13183-9,White Elm IgG Ab [Units/volume] in Serum,White Elm IgG Qn,Allergy,769
29967-7,Neutrophil cytoplasmic IgG Ab [Titer] in Serum by Immunofluorescence,ANCA IgG Titr Ser IF,SERO,770
1795-4,Amylase [Enzymatic activity/volume] in Body fluid,Amylase Fld-cCnc,Chem,771
1871-3,Apolipoprotein B-100 [Mass/volume] in Serum or Plasma,Apo B100 SerPl-mCnc,Chem,772
33716-2,Non-gynecological cytology method study,,ATTACH.CLINRPT,773
1763-2,Aldosterone [Mass/volume] in Serum or Plasma,Aldost SerPl-mCnc,Chem,774
34574-4,Pathology report final diagnosis,Path report.final Dx Spec,TUMRRGT,775
45353-0,Date of analysis of unspecified specimen,Date Of Analysis XXX,MISC,776
2064-4,Ceruloplasmin [Mass/volume] in Serum or Plasma,Ceruloplasmin SerPl-mCnc,Chem,777
792-2,Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count,RBC # CSF Manual,HEM/BC,778
29771-3,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,Occult Bld Stl Ql Imm,Chem,779
30170-5,American Cockroach IgE Ab [Units/volume] in Serum,Amer Roach IgE Qn,Allergy,780
14627-4,Bicarbonate [Moles/volume] in Venous blood,HCO3 BldV-sCnc,Chem,781
31204-1,Hepatitis B virus core IgM Ab [Presence] in Serum,HBV core IgM Ser Ql,MICRO,782
1952-1,Beta-2-Microglobulin [Mass/volume] in Serum,B2 Microglob SerPl-mCnc,Chem,783
13514-5,Hemoglobin pattern [interpretation] in Blood by Electrophoresis Narrative,Hgb Fract Bld Elph-Imp,HEM/BC,784
24012-7,HIV 1 Ag [Presence] in Serum,HIV1 Ag Ser Ql,MICRO,785
5222-5,HIV 1 Ag [Presence] in Serum by Immunoassay,HIV1 Ag SerPl Ql IA,MICRO,786
13953-5,Hepatitis B virus e Ab [Presence] in Serum by Immunoassay,HBV e Ab SerPl Ql IA,MICRO,787
2344-0,Glucose [Mass/volume] in Body fluid,Glucose Fld-mCnc,Chem,788
15205-8,Rheumatoid factor [Units/volume] in Serum by Nephlometry,Rheumatoid fact Ser Neph-aCnc,SERO,789
29770-5,Karyotype [Identifier] in Blood or Tissue Nominal,Karyotyp Bld/T,MOLPATH,790
709-6,Blasts/100 leukocytes in Blood by Manual count,Blasts/leuk NFr Bld Manual,HEM/BC,791
20444-6,Herpes simplex virus 1+2 DNA [Presence] in Unspecified specimen by Probe & target amplification method,HSV1+2 DNA XXX Ql PCR,MICRO,792
19153-6,Volume of unspecified time Urine,Specimen vol ?Tm Ur,SPEC,793
3209-4,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,Fact VIII Act/Nor PPP,COAG,794
7155-5,Boxelder IgE Ab [Units/volume] in Serum,Boxelder IgE Qn,Allergy,795
5866-9,Influenza virus B Ag [Presence] in Unspecified specimen by Immunoassay,FLUBV Ag XXX Ql IA,MICRO,796
13590-5,Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay,aPCR PPP,COAG,797
47528-5,Cytology report of Cervical or vaginal smear or scraping Cyto stain,Cytology Cvx/Vag Doc Cyto,CYTO,798
6106-9,Egg white IgE Ab [Units/volume] in Serum,Egg White IgE Qn,Allergy,799
2006-5,Cancer Ag 125 [Presence] in Serum or Plasma,Cancer Ag125 SerPl Ql,Chem,800
655-1,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain.Kinyoun modified,Acid fast Mod Kiny Stn XXX,MICRO,801
3854-7,Nicotine [Mass/volume] in Urine,Nicotine Ur-mCnc,DRUG/TOX,802
16131-5,Herpes simplex virus 2 DNA [Presence] in Unspecified specimen by Probe & target amplification method,HSV2 DNA XXX Ql PCR,MICRO,803
13954-3,Hepatitis B virus e Ag [Presence] in Serum by Immunoassay,HBV e Ag SerPl Ql IA,MICRO,804
26446-5,Blasts/100 leukocytes in Blood,Blasts/leuk NFr Bld,HEM/BC,805
7792-5,Dohle body [Presence] in Blood by Light microscopy,Dohle Bod Bld Ql Smear,HEM/BC,806
2529-6,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid,LDH Fld-cCnc,Chem,807
41399-7,Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay,HSV1+2 IgM Ser IA-aCnc,MICRO,808
3034-6,Transferrin [Mass/volume] in Serum or Plasma,Transferrin SerPl-mCnc,Chem,809
10900-9,Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay,HBV surface Ab Ser Ql IA,MICRO,810
3284-7,Lupus anticoagulant neutralization platelet [Time] in Platelet poor plasma by Coagulation assay,LA Nt Platelet PPP,COAG,811
3414-0,Buprenorphine [Presence] in Urine,Buprenorphine Ur Ql,DRUG/TOX,812
20404-0,Fibronectin.fetal [Presence] in Vaginal fluid,Fibronectin Fetal Vag Ql,Chem,813
10998-3,Oxycodone [Presence] in Urine,Oxycodone Ur Ql,DRUG/TOX,814
10976-9,6-Monoacetylmorphine (6-MAM) [Presence] in Urine,6MAM Ur Ql,DRUG/TOX,815
2141-0,Corticotropin [Mass/volume] in Plasma,ACTH Plas-mCnc,Chem,816
13046-8,Lymphocytes Variant/100 leukocytes in Blood,Variant Lymphs/leuk NFr Bld,HEM/BC,817
5351-2,Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay,ENA SS-A Ab Ser Ql IA,SERO,818
6412-1,Giardia lamblia Ag [Presence] in Stool by Immunoassay,G lamblia Ag Stl Ql IA,MICRO,819
2614-6,Methemoglobin/Hemoglobin.total in Blood,MetHgb MFr Bld,Chem,820
5353-8,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay,ENA SS-B Ab Ser Ql IA,SERO,821
2915-7,Renin [Enzymatic activity/volume] in Plasma,Renin Plas-cCnc,Chem,822
27416-7,SCL-70 extractable nuclear Ab [Units/volume] in Serum,ENA Scl70 Ab Ser-aCnc,SERO,823
6565-6,Trichomonas vaginalis [Identifier] in Genital specimen by Wet preparation,T vaginalis Genital Ql Wet Prep,MICRO,824
21003-9,Fungus identified in Unspecified specimen by Fungus stain,Fungus XXX Fungus Stn,MICRO,825
5639-0,Ethanol [Presence] in Blood,Ethanol Bld Ql,DRUG/TOX,826
6182-0,Mucor racemosus IgE Ab [Units/volume] in Serum,M racemosus IgE Qn,Allergy,827
49544-0,Newborn screening recommended follow-up [interpretation],NB screen recommended f/u Patient-Imp,Chem,828
3297-9,Acetaminophen [Presence] in Serum or Plasma,APAP SerPl Ql,DRUG/TOX,829
5177-1,Helicobacter pylori IgM Ab [Units/volume] in Serum by Immunoassay,H pylori IgM Ser IA-aCnc,MICRO,830
13516-0,Neutrophils/100 leukocytes in Cerebral spinal fluid by Manual count,Neutrophils/leuk NFr CSF Manual,HEM/BC,831
4023-8,Salicylates [Presence] in Serum or Plasma,Salicylates SerPl Ql,DRUG/TOX,832
2193-1,Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma,DHEA SerPl-mCnc,Chem,833
30243-0,Choriogonadotropin.intact [Units/volume] in Serum or Plasma,HGC Intact SerPl-aCnc,Chem,834
1518-0,Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO,Glucose 2h p 75 g Glc PO SerPl-mCnc,CHAL,835
4547-6,Hemoglobin A1/Hemoglobin.total in Blood,Hgb A1 MFr Bld,HEM/BC,836
51724-3,Cefuroxime [Susceptibility],Cefuroxime Susc Islt,ABXBACT,837
15061-5,Erythropoietin (EPO) [Units/volume] in Serum or Plasma,EPO SerPl-aCnc,Chem,838
6152-3,Johnson grass IgE Ab [Units/volume] in Serum,Johnson grass IgE Qn,Allergy,839
46735-7,Endocrine disorders newborn screen interpretation,Endocrine Disorders DBS-Imp,Chem,840
6252-1,Stemphylium botryosum IgE Ab [Units/volume] in Serum,S botryosum IgE Qn,Allergy,841
32286-7,Hepatitis C virus genotype [Identifier] in Serum or Plasma by Probe & target amplification method,HCV Gentyp SerPl PCR,MICRO,842
17948-1,Fungus # 3 identified in Unspecified specimen by Culture,Fungus XXX Cult org #3,MICRO,843
5199-5,Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB),HCV Ab Ser Ql IB,MICRO,844
17947-3,Fungus # 2 identified in Unspecified specimen by Culture,Fungus XXX Cult org #2,MICRO,845
17949-9,Fungus # 4 identified in Unspecified specimen by Culture,Fungus XXX Cult org #4,MICRO,846
42637-9,Natriuretic peptide B [Mass/volume] in Blood,BNP Bld-mCnc,Chem,847
9327-8,Phosphatidylserine IgM Ab [Presence] in Serum by Immunoassay,PS IgM Ser Ql IA,COAG,848
9813-7,Cortisol [Mass/volume] in Serum or Plasma --morning specimen,Cortis AM peak SerPl-mCnc,Chem,849
1668-3,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma,17OHP SerPl-mCnc,Chem,850
14604-3,Blood group antibodies present [Identifier] in Serum or Plasma from Blood product unit,Blood group antibodies SerPl BPU,BLDBK,851
20513-8,Turbidity [Presence] of Body fluid,Turbidity Fld Ql,SPEC,852
48035-0,Hemoglobin [Presence] in Cerebral spinal fluid,Hgb CSF Ql,HEM/BC,853
1825-9,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,A1AT SerPl-mCnc,Chem,854
5213-4,Heterophile Ab [Presence] in Serum by Latex agglutination,Heteroph Ab Ser Ql LA,MICRO,855
13440-3,Immunofixation [interpretation] for Urine,Interpretation Ur IFE-Imp,Chem,856
6039-2,Beef IgE Ab [Units/volume] in Serum,Beef IgE Qn,Allergy,857
18929-0,Gentamicin.high potency [Susceptibility],Gentamicin Synergy Susc Islt,ABXBACT,858
17862-4,Calcium [Mass/volume] in Urine,Calcium Ur-mCnc,Chem,859
6034-3,Bahia grass IgE Ab [Units/volume] in Serum,Bahia grass IgE Qn,Allergy,860
5358-7,Smooth muscle Ab [Titer] in Serum by Immunofluorescence,Smooth muscle Ab Titr Ser IF,SERO,861
5388-4,Toxoplasma gondii IgG Ab [Units/volume] in Serum by Immunoassay,T gondii IgG SerPl IA-aCnc,MICRO,862
27948-9,Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay,HSV1+2 IgG Ser IA-aCnc,MICRO,863
9439-1,Casts [#/area] in Urine sediment by Microscopy high power field,Casts #/area UrnS HPF,UA,864
2745-8,pH of Capillary blood,pH BldC,Chem,865
