rxnorm_ingredient_concept_id	rxnorm_ingredient_concept_name	atc5_concept_name	atc3_concept_name	atc1_concept_name
1397599	Cisplatin	Platinum compounds	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1594973	Chlorpropamide	Sulfonylureas	DRUGS USED IN DIABETES	ALIMENTARY TRACT AND METABOLISM
19011034	Citrate			
19056032	ACETIAMINE			
19080248	ACETIC			
19011988	ADRENOCORTICOTROPIN (ACTH 1-18),I-125 (TYR)			
19086554	Cellulose, Oxidized			
19082672	Cephaelis Ipecacuanha Preparation			
538530	Candida albicans			
19072255	Cefmetazole	Second-generation cephalosporins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19072857	Cefonicid	Second-generation cephalosporins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19071780	Conium maculatum preparation			
19058688	Constant Albicans Extract			
19030493	Bromhexine	Mucolytics	COUGH AND COLD PREPARATIONS	RESPIRATORY SYSTEM
19052687	Ceramides			
19051271	Cefotiam	Second-generation cephalosporins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
42900440	nifurpipone			
42900441	nitarsone			
43560311	Sophora tetraptera flower extract			
43560319	Toxoplasma gondii			
43560320	Strophanthus gratus seed extract			
43560323	cholesteryl-octyldodecyl lauroyl glutamate			
43560324	dalotuzumab			
43560325	dehydroabietate			
43560326	citraconate			
43560329	codonopsis lanceolata root extract			
43560330	chloropropylate			
43560331	n-butyl lactate			
43560342	bisphenol A			
43560343	Vernonia appendiculata leaf extract			
43560345	Vibrio cholerae			
43560347	Yersinia pestis			
43533097	Fluorosilicate			
43533098	MYRISTAMINE OXIDE			
43533099	GRAPEFRUIT JUICE			
43533100	Cistus monspeliensis leaf extract			
43533101	POLYGLYCERYL-2 DIISOSTEARATE			
43533102	Zinc Peroxide			
43533103	Glechoma hederacea flowering top extract			
43533104	TOMATO SEED OIL			
43533105	taurate			
43533106	polyglyceryl-6-dioleate			
43533107	Opuntia tuna flowering top extract			
43533108	Influenza Virus Vaccine, Live Attenuated, A-Texas-50-2012 (H3N2) strain			
43533109	Influenza Virus Vaccine, Live Attenuated, B-Massachusetts-2-2012 strain			
43533110	Mauritia flexuosa whole extract			
43560286	UNCARIA TOMENTOSA ROOT EXTRACT			
43560287	Tilia cordata, whole extract			
42900131	Sus scrofa bronchus preparation			
42900132	Sus scrofa capillary tissue preparation			
42900133	Sus scrofa cartilage preparation			
42899037	Dioscorea japonica root extract			
42898881	D&C ORANGE NO. 10			
43012151	Mycoplasma pneumoniae			
43012152	Eclipta prostrata whole extract			
43533111	Rubus idaeus seed extract			
43533112	SUNFLOWER SEED OIL GLYCERETH-8 ESTERS			
43533113	Harrisia pomanensis stem extract			
43533114	Technetium Tc 99m Exametazime	Technetium (99mTc) compounds	DIAGNOSTIC RADIOPHARMACEUTICALS	VARIOUS
43533115	asparaginase Erwinia chrysanthemi			
43533116	CALAMUS OIL			
43533117	METHYL LACTATE, L-			
43560384	glucosyl hesperidin			
43560385	dolutegravir	Other antivirals	ANTIVIRALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
43560392	ferric carboxymaltose			
43560400	diethylene glycol diethyl ether			
43560403	whole Melia azederach extract			
43560404	whole eriodictyon californicum extract			
43560405	Laricifomes officinalis whole extract			
43560420	soursop extract			
43560421	punica granatum whole extract			
43560422	parthenium hysterophorus extract			
43560423	poppy seed oil			
43526964	SODIUM LAURYL GLYCOL CARBOXYLATE			
43526974	Semecarpus anacardium fruit extract			
43526990	Technetium Tc 99m Sulfur Colloid	Technetium (99mTc), particles and colloids	DIAGNOSTIC RADIOPHARMACEUTICALS	VARIOUS
43526992	Sucrose Tetrastearate Triacetate			
43526993	Thaumatococcus daniellii fruit extract			
43526994	Ubiquinone Q2			
43560282	Trametes versicolor whole extract			
43527045	Zingiber moutanum flowering top extract			
43527052	aluminum hydroxyphosphate			
43533003	Agrostemma githago seed extract			
43533004	Alnus serrulata bark extract			
43533005	Asarum canadense root extract			
43533006	Cynodon dactylon extract			
43533007	Fraxinus americana bark extract			
43533008	Jacobaea vulgaris extract			
43533009	Platanus x acerifolia whole extract			
43533010	Populus balsamifera leaf bud extract			
43533011	Sassafra albidum root bark extract			
43533012	1,6-hexamethylene diisocyanate			
43533013	2-(L-MENTHOXY)ETHANOL			
43533014	BENZOPHENONE-5			
43533015	ferric hydroxide	Iron trivalent, oral preparations	ANTIANEMIC PREPARATIONS	BLOOD AND BLOOD FORMING ORGANS
43533016	Melia azedarach bark extract			
43533017	Melia azedarach fruit extract			
43533018	Melia azederach leaf extract			
43533019	Psidium guajava extract			
43533020	Morus australis wood extract			
43533021	Vigna radiata extract			
43533022	Iris germanica extract			
43533023	Dianthus caryophyllus flower extract			
44785151	BUTYLOCTYL BENZOATE			
44785161	Cedrus deodara wood extract			
44785170	Calophyllum tacamahaca whole extract			
44785190	Crambe maritima whole extract			
44785199	Erodium stephanianum top extract			
44785210	Hydroxycaprylate			
43526553	Adansonia digitata seed oil			
43526564	Aloe arborescens leaf extract			
43526567	Antimony Triiodide			
43531906	Aluminum Sodium Silicate			
43531907	Acid Violet 43			
44785234	GOLD MONOIODIDE			
44785235	MAGNESIUM PHOSPHATE, MONOBASIC, DIHYDRATE			
44785236	Mangifera indica seed extract			
44785247	MYRISTAMIDOPROPYLAMINE OXIDE			
44785252	KIWI SEED OIL			
44785258	L-ERYTHRULOSE			
44785259	LAURAMIDOPROPYL DIMETHYLAMINE			
44785261	LOWBUSH BLUEBERRY JUICE			
44785264	Ilex aquifolium fruiting top extract			
44785271	Opuntia streptacantha stem extract			
42900143	Sus scrofa esophagus preparation			
42900144	Sus scrofa eye preparation			
42900145	Sus scrofa frontal lobe preparation			
42900150	Sus scrofa ileum preparation			
42900151	Sus scrofa intervertebral disc preparation			
42900152	Sus scrofa jejunum preparation			
42900153	Sus scrofa joint capsule preparation			
42900154	Sus scrofa knee joint preparation			
42900155	Sus scrofa limbic system preparation			
42900156	Sus scrofa lung preparation			
42900157	Sus scrofa lymph preparation			
42900158	Sus scrofa mammary gland preparation			
42900159	Sus scrofa mesenchyme preparation			
42900160	Sus scrofa nasal mucosa preparation			
42900161	Sus scrofa nerve preparation			
42900162	Sus scrofa oral mucosa preparation			
42900163	Sus scrofa ovary preparation			
42900164	Sus scrofa pancreas preparation			
42900165	Sus scrofa parathyroid gland preparation			
42900166	Sus scrofa pineal gland preparation			
42900167	Sus scrofa pituitary gland preparation			
42900168	Sus scrofa placenta preparation			
42900169	Sus scrofa prostate preparation			
42900170	Sus scrofa pylorus preparation			
42900171	Sus scrofa rectum preparation			
42900172	Sus scrofa red blood cell preparation			
42900173	Sus scrofa renal pelvis preparation			
42900174	Sus scrofa solar plexus preparation			
43526356	Sambucus canadensis flower extract			
43526357	Scrophularia ningpoensis root extract			
43526359	Senna alata whole extract			
43526366	Rosa canina seed extract			
43526383	TAMANU OIL			
43526384	TETRAHYDROBISDEMETHOXYDIFERULOYLMETHANE			
43526424	dimethyl fumarate	Other nervous system drugs	OTHER NERVOUS SYSTEM DRUGS	NERVOUS SYSTEM
43526455	calcium bicarbonate			
43526456	castor fiber scent gland secretion			
43526465	canagliflozin	Other blood glucose lowering drugs, excl. insulins	DRUGS USED IN DIABETES	ALIMENTARY TRACT AND METABOLISM
43526478	cyclamen aldehyde			
42900175	Sus scrofa spinal cord preparation			
42900176	Sus scrofa spleen preparation			
42900177	Sus scrofa stomach preparation			
42900178	Sus scrofa superior gastric plexus preparation			
42900179	Sus scrofa sympathetic nerve preparation			
42900180	Sus scrofa temporal lobe preparation			
42900181	Sus scrofa tendon preparation			
42900182	Sus scrofa testicle preparation			
42900183	Sus scrofa thalamus lateral geniculate nucleus preparation			
42900184	Sus scrofa thalamus preparation			
42900185	Sus scrofa thymus preparation			
42900186	Sus scrofa tonsil preparation			
42900187	Sus scrofa tooth preparation			
43012204	2-tert-butylhydroquinone			
43012205	4-phenylenediamine			
43012206	ceramide 3			
43012207	cobalt sulfate			
43012208	dipyrithione			
43012209	dodicin			
43012210	geranylgeranylacetone			
43012211	formate			
43012212	Acacia decurrens extract			
42900191	Sus scrofa urinary bladder preparation			
42900192	Sus scrofa uterus preparation			
42900193	Sus scrofa vagus nerve preparation			
42900194	Sus scrofa vein preparation			
42900195	Symphoricarpos albus fruit extract			
42900196	Symphytum tuberosum root extract			
43526436	copper naphthenate			
43526479	caprylic-capric-linoleic triglyceride			
43526517	sorbitan dioleate			
43526518	succinic anhydride			
43533055	D-glutamic acid			
43533056	Portulaca oleracea leaf extract			
43533057	BIS-HYDROXYETHOXYPROPYL DIMETHICONE (37 CST)			
43533058	Glechoma longituba top extract			
43533059	LIQUIDAMBAR FORMOSANA RESIN			
43533060	Ocimum gratissimum whole extract			
42899693	Myrciaria dubia fruit extract			
42899694	Myrciaria dubia seed extract			
42903936	Epstein-Barr Virus			
42903937	Proteus vulgaris			
42903938	Shigella dysenteriae			
42903939	West Nile virus			
42903940	antimony trisulfide			
42903941	Human Herpesvirus 5 species			
42903942	Human herpesvirus 1			
42903943	Alcaligenes faecalis			
42903944	Bacillus firmus			
42903945	Calcium ion			
42903946	velafermin			
42903947	interleukin-12, human			
42903948	Chimaphila umbellata extract			
42903949	Vinca minor extract			
42899705	Nicarbazin			
42899707	Naja Naja Venom			
42899712	Salix alba bark extract			
42899713	Salix alba flowering top extract			
42899714	Salix alba leaf extract			
42899716	Salsolinol			
42899717	Salvia hispanica seed extract			
42899718	Salvia miltiorrhiza root extract			
42899720	SAMBUCUS NIGRA FLOWERING TOP			
42899721	Sambucus nigra subsp. canadensis flowering top extract			
42899722	Sanguinaria canadensis extract			
42899724	Sanguisorba minor root extract			
42899725	Sanguisorba officinalis root extract			
42899726	Sanicula europaea extract			
42899727	Sanicula europaea leaf extract			
42899728	Santonin			
42899729	Sapindus mukorossi fruit extract			
42899730	Saponaria officinalis root extract			
42899731	Saposhnikovia divaricata root extract			
42899732	Radium bromide			
42899733	SAGE OIL			
42899734	SALIX ALBA BARK VOLATILE OIL			
42903429	C10-18 Triglycerides			
42903430	cetearyl isononanoate			
42903431	chloromethyl methyl ether			
42903432	Chrysanthellum indicum flower oil			
42903433	citric acid acetate			
42903434	dehydroacetic acid			
42903435	TRIDECETH-9			
42903436	Tussilago farfara extract			
42903437	Human Sputum, Bordetella Pertussis Infected			
42903438	Thujopsis dolabrata whole extract			
42903439	Thujopsis dolabrata leafy twig extract			
42903440	tetrasodium glutamate diacetate			
42903441	Influenza A virus			
42903442	Influenza B virus			
42903443	Magnolia kobus bark extract			
42903444	Rubus chamaemorus seed extract			
43526522	technetium Tc 99m tilmanocept			
43526523	retinyl retinoate			
43525936	ACETYL DIPEPTIDE-1 CETYL ESTER			
43525937	3-(3,4-METHYLENEDIOXYPHENYL)-2-METHYLPROPANAL			
43525938	3-O-ETHYL ASCORBATE			
43525946	ALPHA-TOCOPHERYLQUINONE			
43525975	Aralia cordata root extract			
43525983	BEHENYL OLIVATE			
43525998	CETYL DIMETHICONE 25			
43526035	Carthamus tinctorius flower bud extract			
43526046	Calcium Malate			
43526048	Cestrum latifolium leaf extract			
43526049	Cetyl PEG- PPG-10- 1 Dimethicone (HLB 3)			
43526055	Citrus sinensis flower extract			
43526059	Cnidium officinale whole extract			
42898845	Cullen corylifolium fruit extract			
42898847	Cupressus Sempervirens Leaf Oil			
42898848	Cupressus sempervirens seed extract			
42898849	cupric acetate			
42898850	Curcuma longa leaf extract			
42898851	Curcuma xanthorrhiza oil			
42898853	Cuscuta chinensis seed extract			
42898854	Cuscuta japonica seed extract			
42898855	Chrysanthellum indicum subsp. afroamericanum extract			
42898856	Chrysanthemum X morifolium flower extract			
42898857	Chysanthellum indicum top extract			
42903490	hexyldecyl stearate			
42903491	HYDROLYSED BOVINE COLLAGEN (ENZYMATIC; 2000-5000 MW)			
40226721	kiwi fruit allergenic extract			
40227802	Canadian bluegrass pollen extract			
40226208	Pegloticase	Other antigout preparations	ANTIGOUT PREPARATIONS	MUSCULO-SKELETAL SYSTEM
40227684	Bermuda grass smut extract			
40227386	tangerine allergenic extract			
40227394	sage leaf allergenic extract			
40244381	Hypomyces perniciosus extract			
40242675	crizotinib	Protein kinase inhibitors	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
40244266	aflibercept	Antineovascularisation agents	OPHTHALMOLOGICALS	SENSORY ORGANS
40224678	Trichlorfon	Organophosphorous compounds	ANTHELMINTICS	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
40244304	gliocladium allergenic extract			
40244309	gonadotropin releasing factor analog-diphtheria toxoid conjugate			
40226696	peppermint allergenic extract			
40226703	navy kidney bean allergenic extract			
40226707	nectarine allergenic extract			
40236897	Roflumilast	Other systemic drugs for obstructive airway diseases	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	RESPIRATORY SYSTEM
42903502	PEG-150 PENTAERYTHRITYL TETRASTEARATE			
42903503	TRIBEHENIN PEG-20 ESTERS			
42899557	PERILLA FRUTESCENS SEED OIL			
42899558	PHENYL TRIMETHICONE			
42899559	PISTACHIO OIL			
42899560	PLUKENETIA VOLUBILIS SEED OIL			
42899561	PLUM SEED OIL			
42899563	Ononis campestris extract			
42899564	Ononis campestris root extract			
42899566	Onosmodium virginianum whole extract			
42899567	Ophiopogon japonicus root extract			
42903445	Hexaplex Trunculus Hypobranchial Gland Juice			
42903446	Atropa belladonna fruiting top extract			
42903447	phosphoramidic acid			
42903448	Quercus rubra bark extract			
42903449	Quercus alba extract			
42903450	Measles virus preparation			
42903451	dimethicone-diene dimethicone crosspolymer			
42903452	MELANIN SYNTHETIC (TYROSINE, PEROXIDE)			
42903453	MYRISTOYL TETRAPEPTIDE-4			
42903454	methyl methacrylate-glycol dimethacrylate crosspolymer			
42903455	GLYCERETH-17 COCOATE			
42903456	GLYCERYL CAPRYLATE-CAPRATE			
42903994	Alpine strawberry extract			
42903995	Luffa operculata fruit extract			
42903996	Ornithogalum umbellatum extract			
42903997	Conium Maculatum Flowering Top Extract			
42899244	GERANIUM OIL, ALGERIAN TYPE			
42899245	GLUCOSYL STEVIOL			
42899246	GLYCERYL CAPRYLATE			
42899247	GLYCERYL DILAURATE			
42899248	GLYCERYL ISOSTEARATE			
42899249	GLYCERYL LAURATE			
42899250	GLYCERYL LINOLENATE			
42899251	monoolein			
42899252	GOLD TRICHLORIDE			
42899253	Grapefruit seed oil			
42899254	GUAIACUM SANCTUM RESIN			
42899255	Gadolinium			
42899258	Gallic acid			
42899259	Gallium			
42903721	Santalum album seed extract			
42903722	tetradecene			
42903723	Syringa vulgaris whole extract			
42903724	hydroxytyrosol			
42903725	Musa basjoo whole extract			
42903726	TETRAPROPYL ORTHOSILICATE			
42903727	PEG-4 DIHEPTANOATE			
42903728	PYRIDOXINE DIPALMITATE			
42903729	UNDECYLENIC ACID MONOETHANOLAMIDE			
42903730	PREZATIDE COPPER			
42903731	POLYQUATERNIUM 37 (200 MPA.S)			
42903732	isopulegol			
42903733	Ammoniac			
42903734	Bos taurus bone marrow preparation			
42903735	Vaccinium vitis-idaea leaf extract			
42903736	propylene			
42903737	Interferon gamma-1a			
42903738	glycereth-17 stearate			
42899736	SANTALUM SPICATUM OIL			
42899737	SEA SALT			
42899738	Selenium Dioxide			
42899739	SHEANUT OIL			
42899740	SINUSITISINUM			
19082874	orgotein	Other antiinflammatory and antirheumatic agents, non-steroids	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	MUSCULO-SKELETAL SYSTEM
19079011	African Pygeum Extract			
19113756	Ibadronate			
19112944	phosphate ion			
42900439	nickel			
19072699	Botulism Immune Globulin IV Human			
19042778	triflusal	Platelet aggregation inhibitors excl. heparin	ANTITHROMBOTIC AGENTS	BLOOD AND BLOOD FORMING ORGANS
19042801	trilostane	Anticorticosteroids	CORTICOSTEROIDS FOR SYSTEMIC USE	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
19017067	tirofiban	Platelet aggregation inhibitors excl. heparin	ANTITHROMBOTIC AGENTS	BLOOD AND BLOOD FORMING ORGANS
19029398	acemetacin	Acetic acid derivatives and related substances	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	MUSCULO-SKELETAL SYSTEM
19100752	thymostimulin			
42899568	Opuntia ficus-indica flower extract			
42899569	Opuntia ficus-indica stem extract			
42899570	Oregano flowering top extract			
42899571	POLYETHYLENE GLYCOL 600			
42899572	POLYETHYLENE GLYCOL 800			
42899573	POLYHYDROXYSTEARIC ACID (2300 MW)			
42899574	POLYOXYL 20 CETOSTEARYL ETHER			
42899575	POLYOXYL 40 CASTOR OIL			
42899576	POLYOXYL 40 HYDROGENATED CASTOR OIL			
42899577	POLYOXYL 60 CASTOR OIL			
42899578	POLYOXYL 60 HYDROGENATED CASTOR OIL			
42899579	POMEGRANATE SEED OIL			
42899580	POTASSIUM SODIUM TARTRATE			
42903787	POLYQUATERNIUM-7 (70-30 ACRYLAMIDE-DADMAC; 900 KD)			
42903788	garden lady's mantle extract			
42898516	Bos taurus frontal lobe preparation			
42898517	Bos taurus gallbladder preparation			
42898518	Bos taurus hip joint preparation			
42898519	Bos taurus hippocampus preparation			
42898520	Bos taurus hypothalamus preparation			
42898521	Butane			
42898526	Bos taurus joint capsule preparation			
42898527	Bos taurus knee joint preparation			
42898528	Bos taurus limbic system preparation			
42898473	CRYPTOCARYA AGATHOPHYLLA LEAF OIL			
42898474	CUCUMBER FRUIT OIL			
42898475	CYCLOMETHICONE 5			
42898476	CYCLOMETHICONE 6			
42898477	CYMBOPOGON SCHOENANTHUS OIL			
42898478	Betula pendula bark extract			
42898480	Betula platyphylla var japonica resin			
42898481	Betula platyphylla var. japonica bark extract			
42898482	Betula pubescens bark extract			
42898483	Betula pubescens leaf extract			
42898484	Bidens bipinnata top extract			
42898487	Bromus ramosus flower extract			
42898488	brown rice preparation			
42898489	Bryonia alba root extract			
42898491	Cairina moshcata heart-liver preparation			
42900392	apricot juice			
42900393	apricot kernal oil PEG-6 esters			
42900394	black widow spider venom			
42900395	abetimus	Selective immunosuppressants	IMMUNOSUPPRESSANTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
42900396	acai oil			
42900397	Arctostaphylos uva-ursi leaf extract			
42900398	argan oil			
42900399	arsenic triiodide			
42900400	asparagus cochinchinesis tuber extract			
42900401	bosutinib	Protein kinase inhibitors	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
42903504	polyethylene glycol 3500			
42903505	DEXTRANASE PENICILLIUM			
42903506	Polistirex			
42903507	PEG-12 DILAURATE			
42898510	Bos taurus achilles tendon preparation			
42898511	Bos taurus adrenal gland preparation			
42898512	Bos taurus ankle joint preparation			
42898513	Bos taurus bile preparation			
42898514	Bos taurus cartilage preparation			
42898515	Bos taurus colostrum preparation			
42899806	Simmondsia chinesis seed extract			
42899807	Sinapsis arvensis flowering-fruiting top extract			
42900433	rosa canina fruit oil			
42900434	pennyroyal oil			
42900435	pentane			
42900436	rice bran oil			
42900437	neodymium oxide			
42900438	neopentyl glycol dicaprylate-dicaprate			
42900442	norflurane			
42900443	octyldodecyl myristate			
19078968	Soybean Lecithin			
19046036	piperacetazine			
19123870	tybamate			
943191	tyloxapol	Expectorants	COUGH AND COLD PREPARATIONS	RESPIRATORY SYSTEM
19121484	Cornsilk			
19056731	FRUIT EXTRACTS			
715458	tiagabine	Fatty acid derivatives	ANTIEPILEPTICS	NERVOUS SYSTEM
19041910	tianeptine	Other antidepressants	PSYCHOANALEPTICS	NERVOUS SYSTEM
19042575	tribenoside	Other capillary stabilizing agents	VASOPROTECTIVES	CARDIOVASCULAR SYSTEM
982105	Saccharomyces boulardii lyo			
19061403	Polyvalent crotalidae antivenin			
742594	trichloroacetaldehyde			
19024938	campesterol			
19122133	Iodides			
798336	Hyaluronan			
19121248	4000 CPS			
19019800	Aminobenzoate			
19005452	milbemycin oxime			
19115027	japanese encepahlitis virus vaccine, inactivated			
1544838	Insulin, Glulisine, Human	Insulins and analogues for injection, fast-acting	DRUGS USED IN DIABETES	ALIMENTARY TRACT AND METABOLISM
19018632	PTPNS1 protein, human			
19011069	Asparagine			
911486	Glutamate			
717607	Desvenlafaxine	Other antidepressants	PSYCHOANALEPTICS	NERVOUS SYSTEM
1586449	mecasermin rinfabate	Somatropin and somatropin agonists	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
1704139	posaconazole	Triazole derivatives	ANTIMYCOTICS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
40161968	linden pollen extract			
40161972	pepper tree pollen extract			
40161976	perennial rye grass pollen extract			
40161986	momordicae			
40161989	mountain cedar pollen extract			
532430	Influenza Virus Vaccine, Inactivated, A-H3N2 (A-Uruguay-716-2007) strain			
1328269	EDTMP			
19032599	Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain	Rota virus diarrhea vaccines	VACCINES	ANTIINFECTIVES FOR SYSTEMIC USE
924120	Aminolevulinate			
19025348	ixabepilone	Other cytotoxic antibiotics	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
19088079	pantothenate			
19122135	Linolenate			
19091430	idursulfase	Enzymes	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	ALIMENTARY TRACT AND METABOLISM
19067415	Medetomidine			
1387426	Folate			
19091973	pangamate			
19021959	Sapropterin	Various alimentary tract and metabolism products	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	ALIMENTARY TRACT AND METABOLISM
19063605	pegaptanib	Antineovascularisation agents	OPHTHALMOLOGICALS	SENSORY ORGANS
19078649	galsulfase	Enzymes	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	ALIMENTARY TRACT AND METABOLISM
19096910	HYLAN POLYMERS A & B			
1378796	Polypodium Leucotomos			
1389502	phytosterol esters			
19124322	iopanoate			
1189220	guaiacolsulfonate	Expectorants	COUGH AND COLD PREPARATIONS	RESPIRATORY SYSTEM
19100740	thymalfasin			
1317967	aliskiren	Renin-inhibitors	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	CARDIOVASCULAR SYSTEM
1358436	dasatinib	Protein kinase inhibitors	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
19095980	Urea pura, carbamide, Homeopathic preparation			
19121338	Tocotrienols			
19018434	alpha-ketoglutaric acid			
19121628	Whortleberry substance			
19017807	black currant oil			
1378790	HOODIA GORDONII EXTRACT			
19123696	Aminobutyrate			
986790	Azelate			
1713905	doripenem	Carbapenems	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
921956	Sinecatechins	Antivirals	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	DERMATOLOGICALS
902938	ciclesonide	Corticosteroids	NASAL PREPARATIONS	RESPIRATORY SYSTEM
19122855	delmopinol			
19100574	theaflavin			
19059741	phosphatidylserine			
19114603	Providone-Iodine			
19021932	paramethadione	Oxazolidine derivatives	ANTIEPILEPTICS	NERVOUS SYSTEM
19003570	parecoxib	Coxibs	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	MUSCULO-SKELETAL SYSTEM
922024	paregoric			
19024140	quinagolide	Prolactine inhibitors	OTHER GYNECOLOGICALS	GENITO URINARY SYSTEM AND SEX HORMONES
19045045	Ergocalciferol	Vitamin D and analogues	VITAMINS	ALIMENTARY TRACT AND METABOLISM
19013765	respiratory syncytial virus immune globulin intravenous			
19064528	Fluorexon stain			
19037415	Fenugreek seed preparation			
19011097	Propionate			
1516800	Risedronate			
950098	ciclopirox	Other antiinfectives and antiseptics	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	GENITO URINARY SYSTEM AND SEX HORMONES
1331235	quinapril	ACE inhibitors, plain	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	CARDIOVASCULAR SYSTEM
19098415	quinestradol			
19078876	flavocoxid			
19026450	anidulafungin	Other antimycotics for systemic use	ANTIMYCOTICS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19082739	Legume preparation			
42903528	terpinyl acetate			
42903529	SILANETRIOL			
42903530	Neohesperidin dihydrochalcone			
42903531	POLYACRYLAMIDE (1500 MW)			
42903532	PERFLUOROOCTYL TRIETHOXYSILANE			
42903533	Ammonium Stearate			
42903534	dimethyl palmitamine			
19000498	Mefloquine	Methanolquinolines	ANTIPROTOZOALS	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
1521592	Norgestrel			
19128258	Norgestrienone	Progestogens	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	GENITO URINARY SYSTEM AND SEX HORMONES
19011130	Normal saline			
1729720	Penicillin V	Beta-lactamase sensitive penicillins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
590768	Mold Extract			
1188052	dexbrompheniramine	Substituted alkylamines	ANTIHISTAMINES FOR SYSTEMIC USE	RESPIRATORY SYSTEM
19011021	moxonidine	Imidazoline receptor agonists	ANTIHYPERTENSIVES	CARDIOVASCULAR SYSTEM
19004158	Methapyrilene	Substituted ethylene diamines	ANTIHISTAMINES FOR SYSTEMIC USE	RESPIRATORY SYSTEM
19004160	Methaqualone	Other hypnotics and sedatives	PSYCHOLEPTICS	NERVOUS SYSTEM
19059441	etifoxine	Other anxiolytics	PSYCHOLEPTICS	NERVOUS SYSTEM
19031713	Peptide Hydrolases			
986417	POLYETHYLENE GLYCOL 3350			
19056189	Pancreas extract			
780369	metaxalone			
19008893	manganese chloride			
19035100	fibrinolysis inhibitor			
19063191	flavodic acid			
19054931	floctafenine	Other analgesics and antipyretics	ANALGESICS	NERVOUS SYSTEM
19063763	flopropione			
950183	Lactase	Enzyme preparations	DIGESTIVES, INCL. ENZYMES	ALIMENTARY TRACT AND METABOLISM
19098741	Levobupivacaine	Amides	ANESTHETICS	NERVOUS SYSTEM
19072054	methampicillin	Penicillins with extended spectrum	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19004153	methantheline	Synthetic anticholinergics, quaternary ammonium compounds	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	ALIMENTARY TRACT AND METABOLISM
19004254	metharbital	Barbiturates and derivatives	ANTIEPILEPTICS	NERVOUS SYSTEM
19009250	methdilazine	Phenothiazine derivatives	ANTIHISTAMINES FOR SYSTEMIC USE	RESPIRATORY SYSTEM
1153428	fexofenadine	Other antihistamines for systemic use	ANTIHISTAMINES FOR SYSTEMIC USE	RESPIRATORY SYSTEM
713196	interferon beta-1b	Interferons	IMMUNOSTIMULANTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1553610	Levocarnitine	Amino acids and derivatives	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	ALIMENTARY TRACT AND METABOLISM
19053540	iobitridol	Watersoluble, nephrotropic, low osmolar X-ray contrast media	CONTRAST MEDIA	VARIOUS
19033638	iocetamic acid	Watersoluble, hepatotropic X-ray contrast media	CONTRAST MEDIA	VARIOUS
1103137	iodinated glycerol			
993979	Malathion	Other ectoparasiticides, incl. scabicides	ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
